"Lag","CCF"
-50,0.0756192434310625
-49,0.0211451551506908
-48,0.0167313709694254
-47,-0.0461678545204428
-46,-0.0150384910497248
-45,-4.76880646316503e-06
-44,-0.00476616703087787
-43,-0.0410350280439814
-42,-0.016019827083422
-41,-0.00293853354835735
-40,-0.00952429333815112
-39,0.0156990038751912
-38,0.0317722045054352
-37,0.0513956525223361
-36,-0.0474045197199123
-35,0.021336772654066
-34,0.0119625817709152
-33,-0.00458962331772048
-32,0.0136154671027129
-31,-0.0298864095792989
-30,0.023351122060093
-29,0.0557989050070796
-28,-0.026211011697948
-27,-0.0371584950374789
-26,-0.0234275417154134
-25,-0.00166796561676974
-24,0.0156822077630319
-23,0.0400542871888818
-22,-0.0431638240523413
-21,-0.0196389256893391
-20,-0.0136211200520792
-19,0.0316559305457402
-18,-0.00825620676873099
-17,0.0150373396895932
-16,0.00182984731893611
-15,-0.00422131871332062
-14,-0.0216160152353342
-13,0.0374654199666622
-12,-0.0190697901382791
-11,-0.0183252687134155
-10,0.00179777066047589
-9,0.0416399711957237
-8,0.0204188246943094
-7,-0.071547052614788
-6,0.00157045840557552
-5,0.863320688722818
-4,0.0854468760926099
-3,-0.0920304743933166
-2,0.00709605830072496
-1,0.0646128672811505
0,-0.00314838015663338
1,-0.0284387543013084
2,-0.0214036435497962
3,0.00705538618042829
4,-0.0234656370143247
5,0.016543422707819
6,0.023961398670284
7,0.017820391939258
8,-0.0100269474808728
9,0.0166244054853128
10,-0.00136760913635087
11,-0.0400541269896813
12,-0.000133400709740169
13,0.0132733779574171
14,0.0055817362743183
15,-0.0103158273257106
16,0.000360379000282993
17,-9.55419666414836e-05
18,-0.0236986810191014
19,0.0393419322725086
20,0.0458461380743471
21,0.00339679995210495
22,0.00592953732692791
23,-0.0240246073897925
24,0.020881761330537
25,0.0106479767698099
26,-0.0328592650163507
27,0.0687515105439502
28,0.0129180924191982
29,-0.00630335805996801
30,-0.00109835561970578
31,-0.0281116049054744
32,-0.00607435989306218
33,-0.0275161794944726
34,-0.0401464170852188
35,-0.0083319931859966
36,-0.00396040677248755
37,-0.0280307610149643
38,0.00209322505835933
39,0.0479689841151754
40,0.0887866002552584
41,-0.0364377522085822
42,-0.0268223888522919
43,-0.0194484996111845
44,-0.0352432562781496
45,-0.0117254007598976
46,0.0291222010908548
47,-0.0263944742778667
48,-0.0269630081537716
49,0.01223738698199
50,-0.00541129984417377
